,id,POI/street
0,0,s. par 53 sidane/sidanegara 4 cilacap tengah
1,1,anggrek perum./baloi unter kel. lubuk bajayau
2,2,asma laundry/mandiri imogiri
3,3,"ud tangsi rejeki/palotot ngatun sriani wedari karanganyar,"
4,4,"cut mutiahani/35, hikmah"
5,5,pem dos dapur ala/ala perum gar no a 12 suka jaya sukarami
6,6,tb. maratul/
7,7,puratos tamansari beji tista/
8,8,mangkura tk pamudo/90113 kel. pandang
9,9,raya won wonotung/wonotunggal wonotunggal
10,10,tebet timur tebet/tebet raya 92 rt 2 1 tebet
11,11,"kemurnian viii/aulia 95 glodok, garden cijerah binexa cijerah tamansari sarimin"
12,12,kimia farma/
13,13,war bakso lata/lata kota waingapu
14,14,toko-ho teddy palotot pantai jakat/
15,15,slb-bc binatang bangka/palotot sawungg
16,16,dimas laundry demak/jembatan tanjungdalam ll
17,17,waroeng barokah batik ayudia mulia/
18,18,pasar pagi/pagi raya 78 roa malaka rt 1 rw 1 tambora
19,19,dens fotocopy/
20,20,jatikarya muteran damai residence/garden residence kompleks 17435 jatirejo sampurna
21,21,servis aswan aulia 66 kb/tpa amara rachmayanti
22,22,pendowo gg./gg. pan bodeh
23,23,tebet barat tebet barat vi/vi no 12 4 tebet
24,24,kelapa floor plaza gadang kirana warung net/binexa 8 14240 kelapa floor
25,25,kp ta/taman lengsar sindangkerta rt rw.09b 02.dusun cisaat 2 desa sindangkerta
26,26,raya b/bant
27,27,pulo mas barat vi/vi kayu putih
28,28,kuning ambon/poka. jembatan merah putih ambon
29,29,ki ageng pe/peman 30 55162 umbulharjo
30,30,"lembang bimbingan belajar ganesha operation ac yani, 19/"
31,31,jln.hbr motik komplek griya asri mandiri/mandiri blok o1 rt.48 rw.09 kel.karya baru
32,32,tanjung sari gg. mah 9 20122 medan se/selayang
33,33,pab bintaro am/ampenan
34,34,cihuni star barat iii 27/27 pagedangan
35,35,"museum postal indonesia, tamansari cibatu/"
36,36,"tinggarjaya t. haryulin/aulia 11 bankalan negeri indonesia, kalijogo agung ungaran warung"
37,37,"gedung hijau, viii/8 pondokgede pinangsori hotel kebayoran garden"
38,38,komplek puri citra/citra blok f1 no 26 kel.pipitan
39,39,telajung raya setu cibi - bek no 32 17320 ci/cikarang barat
40,40,ruko cikitsu/cikitsu jl abu 1 29433
41,41,rogo jampirejo/sumurpanggang margadana
42,42,letj supriadi/
43,43,mand sela iii to/tomang grogol petamburan
44,44,cluster karyabaru baruna. cluster laladon sutoyo/komplek karyabaru baruna. kolam aulia 69.d
45,45,komplek angkasa puratos sudirman/
46,46,daya p/paru 43
47,47,puskemas palotot/
48,48,cv pon rami 23373 daruss/darussalam
49,49,vete 42 beriwit mu/murung
50,50,kenari raden saleh/saleh raya 6 1 10330 senen
51,51,bhin k/karya karamat
52,52,mas nurul huda badang ng/ngoro
53,53,mahkota regency/aulia c1 residence sirnabaya kel.
54,54,karangayu jendral sudirman/250 binexa residence semarang plaza
55,55,ayam ba/bakar slahonje taman hara baru 281 17181
56,56,cileunyi kulon/kulon aka delp no 6 40622 cileunyi
57,57,kampung bali kh. wahid has 178 rt 1 9 tanah a/abang
58,58,dsn sendang pancur rt 01 rw 05 desa gemaharjo kec. sem/semanding kab. tuban
59,59,raya kapas/kapas kalianyar kapas
60,60,pasar minggu rt 6/pasar minggu rt 6 5 pasar minggu
61,61,kertamukti cibitung/
62,62,lang waqof hidayatul ummah/ummah mast warugunung
63,63,tanjungdalam mulia hilir s.j laptop service/kawat julukanaya aulia residence
64,64,lele 35/35 bali dompu
65,65,jamba no 91 d jam/jambangan 2 jambangan
66,66,pelawi podomoro babalan/
67,67,aarcpulau bidadari/22 neglasari garden residence residence neglasari
68,68,parfum sarpo julukanaya/
69,69,stasiun kendil/mulia tulis
70,70,taman krakatau zona kiev/kiev blok k9 no 32
71,71,ud mayapur candra/candra raya kapal kapal
72,72,derm lonc no 8 margajaya bogor barat -/- kota
73,73,selajambe lebak jero/garden binexa jembatan 11
74,74,mla iii 102 mlatibaru rw 7 se/semarang timur
75,75,palotot bandung/aulia mulia mpp cianjur
76,76,aneka lilin/pantai unter kapuk boulevard
77,77,mannu 11a rt 3 4/4 tamalate
78,78,klam jaya 72 klampis nga/ngasem rt 4 1 sukolilo
79,79,mojolangu canggu menara v rt04rw05/25 lowokwaru
80,80,kapas utara vi ge/gebangsari kel.
81,81,komo halim perd kus 29/29 kebon pala rt 8 5 makasar
82,82,cilobak 4 49 pangkalan/pangkalan jati cinere
83,83,gg. wono 9/9 karang berombak medan barat
84,84,mue petshop/ponsel bendul unter julukanaya
85,85,pemuda palembang musicool palotot matrixal palotot/palapa meriem pdsi
86,86,kateguhan rotiboy bakar bandung pakcik hendrik/jendral sudirman
87,87,perumahan wahana cikarang/lebak b18 no.6
88,88,"h, imam munandar/aulia 65 crystal computer"
89,89,gg. buntu lemaha/lemahabang wetan lemahabang
90,90,"koperasi, simpan pinjam sinarmas. pelita/pelabuhan bojonggede cikembar"
91,91,ragunan gebeha kyubin abadi. sebelah bungae palotot perum./agency binexa 11 12550
92,92,kenc utama ii/ii kembangan selatan 7 kembangan
93,93,kali dha vi no 19 60112/60112 mulyorejo
94,94,. 3 h. asmat 15/asmat 15 rt 5 4 cilincing
95,95,20 dese 15 rt 2 3 pegadungan/pegadungan kalideres
96,96,nila 64 bul/bulakamba
97,97,palotot puskemas kecana/
98,98,lines. rental tembilahan. smk pekantua/
99,99,masjid melayu warung garden residence kompleks teluknaga/
100,100,buleleng podomoro kelapa gadang/kelapa floor warung
101,101,sate 61151/61151 manyar
102,102,jl.a dah 9 kramat/kramat pela rt 1 1 kebayoran baru
103,103,/
104,104,2 wo/pudak 22 wonosari
105,105,tham 5 49 ketapang rt 3 rw 2 ci/rt 3 rw 2 cipondoh
106,106,jogoka gg./gg. sidol mantrijeron
107,107,"movement on cellular/pasundan aulia residence 75123 food, uluale"
108,108,latief simpan/klaten podomoro
109,109,sutra putih margasip/
110,110,/
111,111,tanjungsari tan jaya 1 no 29 rw 2 sukomanung/sukomanunggal
112,112,rt 12/utara pet bin ii 1 rt 12 rw 8 10130 gambir
113,113,sd negeri 3/3 seunuddon 24393 seunuddon (seunudon)
114,114,mel 2 27 wana/wanasari cibitung
115,115,mandiri palotot/aulia 12 martabak l-baksiu karadenan cibinong
116,116,ringinrejo raya/raya sambi 24 64176 ringinrejo
117,117,adella cellular maospati palotot maospati timur/klapagada maospati
118,118,taman nyiur 12 12b sunter/sunter agung rt 2 15 tanjung priok
119,119,tk teratai/teratai banua padang bungur
120,120,sabdodadi dokter wahidah sudiro husada/aulia terminal 55715 bantul
121,121,jalan affa/affa no 34
122,122,monu emmy sae 66 gunung/gunung sari rappocini
123,123,terapi mirage plus 8 alsera box/bandung vi
124,124,rawa terate/terate raya bek 7 rt 1 2 13260 pulo gadung
125,125,sitin jo no 97 medan teng/tenggara kel. medan denai
126,126,"first indolink american leasing. sebelah/ruko, 21 klampis"
127,127,cucinta motorindo a/
128,128,karangpoh mar/mar raya 4 1 tandes
129,129,ivory bahagia palotot/grogol grogol petamburan
130,130,cilame kanti sela 44 40552 ng/ngamprah
131,131,california fried chicken diptya/
132,132,sisin no 315 siti rejo i medan/medan kota
133,133,terminal sinarmas. mandiri teknik soekarno hatta/
134,134,"bubur ayam,/"
135,135,stasiun gogik girirejo/garden cijerah binexa hotel
136,136,"village, karung selatan/80 village, garden terminal ampera penjaringan"
137,137,156478 sukabumi/
138,138,dewa ruci iii 9 setiame/setiamekar tambun selatan
139,139,gg. h. yasin iii 462 suk/sukabungah sukajadi
140,140,jl. komp. puri bint pb7a no15 sawah baru/baru ciputat
141,141,air ca/camar 8 padang timur
